#,song_id,echonest_id,date,title,artist,rank,exrank,peak,weeksOn,writer,producer,promotion,tempo,key,loudness,duration,energy,danceability,mode,year
29988,98807,SOKAAXT12AF72A1587,9/6/2003,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee",1,3,1,11,"Nelly,V. Smith,M.Lee,J.Bridges",J.Bridges,UMRG,175.466,6,-7.119,295.33995,0.624101429,0.69915252,1,2003
23549,37660,SOKADLJ12A67ADA233,8/2/1997,Mo Money Mo Problems,The Notorious B.I.G. (Feat. Puff Daddy ,4,0,1,30,"C.Wallace,S.Jordan,M.Betha,B.Edwards,N.Rodgers","S.Jordan,S.Combs",Arista,104.325,6,-5.951,257.82812,0.809375698,0.838189893,0,1997
2853,114623,SOKDRCM12AF72A36EC,10/3/1987,Bad,Michael Jackson,16,29,1,14,M.Jackson,Q.Jones,Epic,114.111,9,-4.533,246.02077,0.588923016,0.852893855,1,1987
36619,74664,SOKDTWD12A58A7BADE,10/27/1973,Top Of The World,Carpenters,23,0,1,20,,,,92.586,10,-9.824,182.83057,0.448168526,0.594342532,1,1973
35627,23036,SOKEGII12AF72A0758,12/14/1963,There! I've Said It Again,Bobby Vinton,9,0,1,13,,,n/a,77.89,7,-12.962,140.7473,0.391984578,0.24157481,1,1963
10614,107933,SOKEHBA12A6D4F7E68,3/11/1989,Forever Your Girl,Paula Abdul,68,0,1,22,O.Leiber,O.Leiber,Virgin,119.884,2,-7.536,300.48608,0.811993975,0.66000821,1,1989
576,38040,SOKFHGB12A67021379,9/27/1997,4 Seasons Of Loneliness,Boyz II Men,2,0,1,20,"J.Harris III,T.Lewis","K.C.Porter,J.Jam,T.Lewis",Motown,98.401,1,-11.098,292.49261,0.386763253,0.563273751,1,1997
18800,78709,SOKGJCB12A8C13834C,5/8/1971,It's Too Late,Carole King,84,0,1,17,,,,103.002,9,-19.42,235.20608,0.246582997,0.65398868,0,1971
21610,114671,SOKGJPM12A8C132E14,10/10/1987,Lost In Emotion,Lisa Lisa & Cult Jam Featuring Full Force,2,3,1,20,Full Force,Full Force,Columbia,119.792,7,-7.09,306.49424,0.749680563,0.745873634,0,1987
31800,119069,SOKHEZZ12A58A7B7E8,6/22/1985,St. Elmo s Fire (Man In Motion),John Parr,90,0,1,22,"D.Foster,J.P.",D.Foster,Atlantic,111.09,9,-11.271,251.8722,0.685033896,0.616474325,1,1985
31947,44822,SOKHHQG12AB0184C61,5/7/1994,"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb ,74,0,1,30,L.Loeb,J.Patino,RCA,165.972,1,-7.935,178.02404,0.32493272,0.42189119,1,1994
35182,28430,SOKHKIM12AB01838BD,1/18/1960,"The Theme From ""A Summer Place""",Percy Faith,43,0,1,21,,,n/a,93.196,9,-13.597,144.27383,0.301541315,0.462663397,0,1960
8309,62421,SOKIARE12A8C133FB6,2/12/1977,Don't Give Up On Us,David Soul,46,0,1,19,,,,99.816,2,-13.857,214.59546,0.277137584,0.502513517,1,1977
6409,82074,SOKILZW12A6D4F7361,8/22/1970,Cracklin' Rosie,Neil Diamond,62,0,1,15,,,,128.134,1,-10.147,180.03546,0.64933529,0.572462095,1,1970
19787,57337,SOKJKDS12A6D4FC6D8,3/3/1979,Knock On Wood,Amii Stewart,24,0,1,20,,,,140.738,2,-11.13,252.94322,0.847926047,0.690505945,1,1979
27596,26764,SOKKEIY12A6D4F7077,5/22/1961,Quarter To Three,Gary U.S. Bonds,99,0,1,15,,,n/a,161.255,2,-6.106,324.62322,0.831195082,0.415250456,1,1961
22617,61284,SOKKHDJ12A6D4FA840,9/9/1978,MacArthur Park,Donna Summer,85,0,1,20,,,,131.276,4,-8.789,1055.4771,0.744963391,0.657036865,0,1978
31997,64589,SOKKNUS12B0B80811E,12/10/1977,Stayin' Alive,Bee Gees,65,0,1,27,,,,207.146,0,-14.866,285.1522,0.712756877,0.49875549,0,1977
8318,66133,SOKLEWK12A8C143EC5,7/10/1976,Don't Go Breaking My Heart,"Elton John,Kiki Dee",46,0,1,20,,,,131.425,5,-12.477,271.17669,0.662079986,0.746109376,1,1976
24222,34010,SOKLRNO12B34F32C38,2/28/1998,My Heart Will Go On,Celine Dion,1,0,1,20,"J.Horner,W.Jennings","W.Afanasieff,J.Horner",550 Music,99.108,0,-10.711,313.15546,0.266489463,0.384783226,0,1998
5203,71478,SOKMHSB12AB01829EA,8/3/1974,"Can't Get Enough Of Your Love, Babe",Barry White,51,0,1,12,,,,110.455,10,-10.504,221.30893,0.74199938,0.765107774,1,1974
770,75631,SOKMWEV12A58A78409,3/4/1972,A Horse With No Name,America,20,0,1,14,,,,127.73,11,-5.92,258.24608,0.630933253,0.430942524,0,1972
3731,125440,SOKOXCJ12AB018AAD7,2/5/1983,Billie Jean,Michael Jackson,27,0,1,24,,,1,117.037,9,-9.069,294.21669,0.489499751,0.980581791,0,1983
21143,116107,SOKQGCI12B0B807675,5/3/1986,Live To Tell,Madonna,14,24,1,18,"Madonna,P.Leonard","Madonna,P.Leonard",Warner Bros.,110.083,2,-18.375,318.45832,0.221098317,0.539155229,0,1986
22170,67194,SOKQIFV12AF72A7206,12/11/1976,"Love Theme From ""A Star Is Born"" (Evergreen)",Barbra Streisand,72,0,1,25,,,,114.295,9,-12.37,184.60689,0.188021369,0.284052093,1,1976
2504,52069,SOKQNSG12AF72A1DF7,2/23/1991,Baby Baby,Amy Grant,75,0,1,21,"A.Grant,K.Thomas",Not Listed,A,97.865,6,-4.611,237.19138,0.495151561,0.689063958,1,1991
1187,122936,SOKROFE12A6D4F7F95,2/25/1984,Against All Odds (Take A Look At Me Now),Phil Collins,67,0,1,0,,,,116.055,1,-8.863,205.81832,0.232460978,0.549753364,1,1984
14788,36961,SOKRQNU12A67ADA22E,4/26/1997,Hypnotize,The Notorious B.I.G.,2,0,1,20,"C.Wallace,S.Combs,D.Angelettie,R.Lawrence,A.Armer,R.Badazz,R.Walters,D.Davis","D.Angelettie,R.Lawrence,S.Combs",Arista,93.919,1,-5.978,230.03383,0.710707561,0.904958464,0,1997
2362,127475,SOKRYRC12A8C14343D,1/9/1982,Arthur's Theme (Best That You Can Do),Christopher Cross,56,0,1,24,,,,136.421,9,-8.892,235.12771,0.427152451,0.508247723,1,1982
7227,69933,SOKSQOC12AB0180915,12/27/1975,"December, 1963 (Oh, What a Night)",The 4 Seasons,85,0,1,27,,,,104.402,1,-9.645,201.16853,0.589958773,0.734602294,1,1975
17691,55538,SOKTIXW12AB017F72A,6/23/1990,If Wishes Came True,Sweet Sensation,48,58,1,20,"R.Desalvo,D.Charles,R.Steele",S.Peck,EEG,143.69,3,-10.784,315.24526,0.392075633,0.527266313,1,1990
38744,123605,SOKTKYQ12A8AE45B1D,5/26/1984,What s Love Got To Do With It,Tina Turner,77,92,1,28,"T.Britten,G.Lyle",T.Britten,Capitol,97.865,8,-6.274,226.53342,0.533258854,0.851289725,0,1984
35856,41691,SOKUWEV12A8C13BBEB,2/25/1995,This Is How We Do It,Montell Jordan,93,0,1,29,"M.Jordan,O.Pierce,R.Walters","O.Pierce,M.Jordan",IDJMG,103.412,0,-7.372,182.9873,0.488472323,0.854784332,1,1995
21854,6955,SOKUZSU12AF72A0D66,2/4/1967,Love Is Here And Now You're Gone,The Supremes,27,0,1,11,,,n/a,114.79,5,-6.19,166.13832,0.689322428,0.504373407,0,1967
29291,49345,SOKVPCY12AF729F56A,2/1/1992,Save The Best For Last,Vanessa Williams,92,0,1,27,"W.Waldman,J.Lind,P.Galdston",K.Thomas,IDJMG,95.891,3,-15.525,218.87955,0.216736258,0.494593213,1,1992
20855,7841,SOKVSAG12AAA8C597F,6/10/1967,Light My Fire,The Doors,61,0,1,17,,,n/a,129.98,4,-10.627,173.68771,0.625422944,0.482662142,0,1967
32170,15805,SOKWTMY12A8C13A7EC,2/27/1965,Stop! In The Name Of Love,The Supremes,41,0,1,12,,,n/a,116.952,9,-7.384,176.14322,0.704510926,0.735789787,0,1965
40807,61636,SOKXHRG12AB017CE34,10/28/1978,You Don't Bring Me Flowers,"Barbra Streisand,Neil Diamond",48,0,1,17,,,,76.178,0,-16.323,204.7473,0.248946588,0.064580653,1,1978
38930,71969,SOKXPPB12AF72A4C1B,10/12/1974,Whatever Gets You Thru The Night,John Lennon,24,0,1,15,,,,126.298,2,-8.423,201.24689,0.852856467,0.564964967,1,1974
32991,126161,SOKYGOY12AF72A62ED,5/14/1983,Sweet Dreams (Are Made of This),Eurythmics,90,0,1,26,,,1,125.998,4,-5.645,367.28118,0.631516688,0.693294963,0,1983
22832,81509,SOKYMYF12AF72A7CF7,6/6/1970,Mama Told Me (Not To Come),Three Dog Night,33,0,1,15,,,,120.448,8,-8.7,198.79138,0.647133916,0.663710387,1,1970
39983,7776,SOKYNVQ12A8C1434BF,6/3/1967,Windy,The Association,28,0,1,14,,,n/a,132.986,5,-8.505,167.54893,0.526719033,0.78236812,1,1967
14539,51234,SOKYYUS12AF72A7694,10/24/1992,How Do You Talk To An Angel,The Heights,6,11,1,20,"B.Coffing,S.Tyrell",S.Tyrell,Capitol,161.903,9,-6.895,226.63791,0.508581762,0.48945002,1,1992
18372,122573,SOKZGOR12A8AE46C6C,1/7/1984,Islands In The Stream,Kenny Rogers ,29,18,1,24,"B.Gibb,R.Gibb,N.Gibb","B.Gibb,K.Richardson,A.Galuten",RCA,101.985,8,-10.421,249.44281,0.473193735,0.773946616,1,1984
37566,131395,SOKZVLI12A58A7977D,7/19/1980,Upside Down,Diana Ross,71,0,1,29,,,,107.84,8,-10.162,248.31955,0.82365311,0.84606276,1,1980
37933,117247,SOLACXV12AB0185666,10/11/1986,Walk Like An Egyptian,Bangles,63,75,1,23,L.Sternberg,D.Kahne,Columbia,102.917,4,-4.199,202.47465,0.889745243,0.719944525,1,1986
18366,69339,SOLASFE12A67FFB30F,10/11/1975,Island Girl,Elton John,49,0,1,15,,,,140.008,10,-8.328,224.86159,0.761939155,0.696347288,1,1975
17287,29564,SOLBGHR12AB018A6D3,6/20/1960,I'm Sorry,Brenda Lee,14,0,1,23,,,n/a,68.266,10,-15.747,158.11873,0.290070108,0.578394883,1,1960
11966,56605,SOLEBUO12AB0187F84,11/17/1990,Gonna Make You Sweat,C+C Music Factory,74,0,1,25,"R.Clivilles,F.B.Williams","R.Clivilles,D.Cole",Columbia,152.865,6,-4.2,244.74077,0.717278095,0.73284075,1,1990
21164,31770,SOLEGCC12A58A7C174,4/24/1999,Livin La Vida Loca,Ricky Martin,32,54,1,20,"R.Rosa,D.Child","D.Child,R.Rosa",C2,89.018,8,-3.557,243.30404,0.801053835,0.524920638,0,1999
3758,70759,SOLENBP12AAF3B12CE,4/27/1974,"Billy, Don't Be A Hero",Bo Donaldson & The Heywoods,78,0,1,19,,,,122.041,10,-10.427,205.94893,0.679493993,0.708452591,0,1974
11915,93682,SOLFNWK12A8C13DDBD,9/17/2005,Gold Digger,Kanye West Featuring Jamie Foxx,1,19,1,8,"K.West,R.Charles,R.Richard","K.West,J.Brion",IDJMG,99.301,6,-6.97,125.12608,0.897782301,0.652849744,1,2005
29420,104802,SOLFQJW12B0B8075DD,1/1/2000,Say My Name,Destiny's Child,56,83,1,32,"R.Jerkins,F.Jerkins III,L.Daniels,B.Knowles,L.Luckett,K.Rowland,L.Roberson",R.Jerkins,Columbia,137.807,8,-3.542,271.22893,0.579103405,0.595243964,1,2000
9881,114787,SOLFZTO12AB017DD09,10/24/1987,Faith,George Michael,54,0,1,20,G.Michael,G.Michael,Columbia,127.792,11,-14.25,196.20526,0.66321686,0.886124528,1,1987
3504,70431,SOLGVEO12AB0180BDC,3/9/1974,Bennie And The Jets,Elton John,23,0,1,18,,,,132.056,0,-7.248,322.42893,0.600471778,0.634189992,1,1974
35659,115409,SOLHIKJ12A6D4F64D2,1/25/1986,These Dreams,Heart,45,54,1,20,"B.Taupin,M.Page",R.Nevison,Capitol,158.019,11,-14.012,255.03302,0.395572885,0.516929528,1,1986
2424,117575,SOLHKJX12A6D4F6F86,11/22/1986,At This Moment,Billy Vera ,69,80,1,21,B.Vera,J.Baxter,Rhino,84.327,6,-8.261,234.55302,0.207160496,0.405075527,1,1986
18223,46648,SOLHTXR12AB0182049,1/9/1993,Informer,Snow,79,0,1,25,"D.O Brien,S.Moltke,E.Leary",M.C.Shan,EEG,98.04,4,-5.665,241.10975,0.739700656,0.763016174,0,1993
30349,24654,SOLIXWZ12AF72A1FAB,7/28/1962,Sheila,Tommy Roe,73,0,1,14,,,n/a,131.675,9,-16.251,128.44363,0.762661756,0.583196348,1,1962
3159,105488,SOLJCJG12AB0182425,4/1/2000,Be With You,Enrique Iglesias,63,0,1,20,"E.Iglesias,P.Barry,M.Taylor","M.Taylor,B.Rawling",Interscope,122.001,1,-7.189,272.56118,0.642862699,0.560176982,0,2000
9769,43683,SOLJCOY12B0B80B9D6,12/2/1995,"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",Whitney Houston,2,1,1,21,Babyface,Babyface,Arista,137.957,1,-8.017,205.37424,0.231465177,0.562413194,1,1995
12069,108304,SOLJEMT12A58A7EEB8,5/6/1989,Good Thing,Fine Young Cannibals,69,0,1,17,"D.Steele,R.Gift","Steele,Gift,Cox",MCA,164.456,9,-9.989,201.9522,0.506536722,0.781723554,0,1989
12115,53157,SOLKJIG12AB0188046,7/20/1991,Good Vibrations,Marky Mark ,82,0,1,20,"D.Wahlberg,M.Wahlberg,Spice",D.Wahlberg,EEG,121.638,10,-8.956,269.73995,0.920124198,0.722289588,0,1991
34634,73755,SOLKOYX12AF72A571B,6/23/1973,The Morning After,Maureen McGovern,99,0,1,15,,,,79.602,6,-8.501,141.87057,0.410425442,0.312073715,1,1973
32949,111299,SOLKPTK12AF72A9773,7/2/1988,Sweet Child O Mine,Guns N Roses,63,76,1,24,Guns N Roses,M.Clink,Geffen,125.243,6,-5.377,355.34322,0.818941786,0.452731673,1,1988
40830,66617,SOLLTHO12AB018BE3B,9/18/1976,You Don't Have To Be A Star (To Be In My Show),"Marilyn McCoo & Billy Davis, Jr.",80,0,1,26,,,,99.991,6,-9.064,279.58812,0.502386003,0.656071919,0,1976
2158,109622,SOLMIUU12A58A79C99,11/4/1989,Another Day In Paradise,Phil Collins,43,0,1,18,P.Collins,"P.Collins,H.Padgham",Atlantic,101.948,6,-9.706,321.90649,0.413314763,0.809235521,1,1989
19099,122802,SOLNCOX12AF72A7334,2/4/1984,Jump,Van Halen,11,20,1,7,"E.Van Halen,A.Van Halen,M.Anthony,D.L.Roth",T.Templeman,Warner Bros.,130.014,0,-5.668,247.14404,0.754520862,0.726855957,1,1984
19022,68659,SOLOUUD12A8C13291A,7/5/1975,Jive Talkin',Bee Gees,27,0,1,17,,,,110.572,5,-13.323,303.882,0.781269273,0.650448569,1,1975
26307,109918,SOLPGXJ12A6D4F7E65,12/16/1989,Opposites Attract,Paula Abdul (Duet With The Wild Pair),72,0,1,23,O.Leiber,O.Leiber,Virgin,117.762,5,-5.186,258.06322,0.762304167,0.807512824,0,1989
5014,83972,SOLPJPH12C106D1731,10/2/2010,California Gurls,Katy Perry Featuring Snoop Dogg,17,12,1,19,"K.Perry,L.Gottwald,Max Martin,B.Levin,B.McKee,C.C.Broadus Jr.","Dr. Luke,Max Martin,B.Blanco",Capitol,85.322,0,-16.562,221.83138,0.522371797,0.561562937,1,2010
32641,70667,SOLQCIP12C0DDBCC1E,4/13/1974,Sundown,Gordon Lightfoot,83,0,1,18,,,,106.005,11,-18.657,216.0322,0.347208566,0.841102874,1,1974
13620,48658,SOLQLUA12AB018733D,10/23/1993,Hero,Mariah Carey,71,0,1,30,"M.Carey,W.Afanasieff","W.Afanasieff,M.Carey",Columbia,119.428,9,-9.797,275.64363,0.366332471,0.490983657,1,1993
5054,117958,SOLQPEA12A8C134181,1/19/1985,Can t Fight This Feeling,REO Speedwagon,46,0,1,18,K.Cronin,"K.Cronin,G.Richrath,A.Gratzer",Epic,77.437,9,-12.291,295.33995,0.434965581,0.457006564,1,1985
22885,129465,SOLRMNG12A8AE4824B,10/16/1982,Maneater,Daryl Hall & John Oates,65,0,1,23,,,,89.565,11,-8.957,269.11302,0.607362376,0.715807223,0,1982
38087,36278,SOLTCRE12A8C141586,1/25/1997,Wannabe,Spice Girls,11,0,1,23,"Spice Girls,Stannard,Rowe","Stannard,Rowe",Virgin,111.934,11,-8.382,166.16444,0.460519543,0.79028346,1,1997
9982,43234,SOLVGKK12A58A77693,9/30/1995,Fantasy,Mariah Carey,1,0,1,25,"M.Carey,C.Frantz,T.Weymouth,D.Hall,A.Belew,S.Stanley","M.Carey,D.Hall,S.Combs",Columbia,102.4,7,-8.302,243.56526,0.657653,0.67127794,1,1995
18317,89200,SOLVSWA12AF72A2C5F,1/6/2007,Irreplaceable,Beyonce,1,1,1,10,"S.Smith,B.Knowles,M.S.Eriksen,T.E.Hermansen,E.Lind,A.Bjorklund","StarGate,B.Knowles,Ne-Yo",Columbia,88.016,10,-4.203,230.66077,0.600812466,0.704468655,1,2007
13949,27634,SOLXCWK12A58A7CCFC,9/25/1961,Hit The Road Jack,Ray Charles,13,0,1,13,,,n/a,88.486,1,-14.065,160.13016,0.805833591,0.700610672,0,1961
21758,65423,SOLXLPH12A58A7C3BE,4/3/1976,Love Hangover,Diana Ross,78,0,1,18,,,,112.979,1,-7.136,223.92118,0.652635505,0.516459177,1,1976
32565,14135,SOLXZPD12AF729BFE9,7/16/1966,Summer In The City,The Lovin' Spoonful,53,0,1,11,,,n/a,111.263,10,-9.973,160.39138,0.667209932,0.448778608,1,1966
14451,64016,SOLZNOX12AF72A060E,9/24/1977,How Deep Is Your Love,Bee Gees,83,0,1,33,,,,105.119,5,-10.116,242.46812,0.351535821,0.660232752,0,1977
11515,108982,SOMAJEL12A8C13BF8F,8/5/1989,Girl I m Gonna Miss You,Milli Vanilli,53,0,1,21,"Farian,Kawohl,Bischof-Fallenstein",F.Farian,Arista,100.983,9,-9.353,224.80934,0.340117017,0.77553799,1,1989
1778,113405,SOMBQLW12AF729C83B,4/18/1987,Always,Atlantic Starr,42,58,1,22,"J.Lewis,D.Lewis,W.Lewis","D.E.Lewis,W.I.Lewis",Warner Bros.,134.088,7,-9.818,225.67138,0.308764468,0.685323562,1,1987
19984,67448,SOMDCBU12A8C146E74,1/18/1975,Lady Marmalade,Patti LaBelle,84,0,1,18,,,,121.871,5,-6.544,352.39138,0.701187049,0.56144927,0,1975
23016,78106,SOMDKBT12A8C134151,2/13/1971,Me And Bobby McGee,Janis Joplin,42,0,1,15,,,,186.779,2,-11.779,269.63546,0.559800892,0.325633736,1,1971
14820,76398,SOMDRSU12AF72A7283,6/24/1972,I Am Woman,Helen Reddy,99,0,1,22,,,,183.411,5,-11.077,137.74322,0.726493352,0.457488027,1,1972
14340,57831,SOMFPSJ12A6D4F7521,5/12/1979,Hot Stuff,Donna Summer,3,0,1,21,,,,120.468,0,-13.557,314.80118,0.818706433,0.847732037,1,1979
21160,88725,SOMGNCO12AB0185BAC,10/25/2008,Live Your Life,T.I. Featuring Rihanna,3,1,1,3,"C.J.Harris, Jr.,J.Smith,M.Riddick,B.D.Mihai",Just Blaze,Def Jam/Grand Hustle,106.643,11,-4.033,338.93832,0.701415779,0.606564773,0,2008
28844,6848,SOMGWUA12A58A7C37E,1/21/1967,Ruby Tuesday,The Rolling Stones,78,0,1,12,,,n/a,104.788,0,-10.697,196.80608,0.482811555,0.485996004,1,1967
22249,56589,SOMHZKE12A6D4FA2D5,11/17/1990,Love Will Never Do (Without You),Janet Jackson,89,0,1,22,"J.Harris III,T.Lewis","J.Jam,T.Lewis",A,103.174,11,-9.155,349.67465,0.912482854,0.761266312,1,1990
34400,74596,SOMJGUT12AB01816F9,10/20/1973,The Joker,Steve Miller Band,86,0,1,20,,,,165.945,10,-13.339,217.93914,0.444132875,0.468723561,1,1973
29149,131177,SOMLEYA12A58A78097,6/14/1980,Sailing,Christopher Cross,77,0,1,21,,,,149.275,9,-21.187,255.52934,0.411764448,0.459925154,1,1980
30798,68006,SOMMENW12A8C13274C,4/5/1975,Sister Golden Hair,America,71,0,1,16,,,,140.407,4,-7.468,196.20526,0.70896052,0.464235398,1,1975
15949,132248,SOMNHOK12A58A7AF63,11/15/1980,I Love A Rainy Night,Eddie Rabbitt,77,0,1,28,,,,131.144,0,-11.779,190.61506,0.716558901,0.726293227,1,1980
24279,84258,SOMRWVE12AB0188BDE,2/7/2009,My Life Would Suck Without You,Kelly Clarkson,1,97,1,2,"L.Gottwald,C.Kelly,M.Martin","Dr. Luke,M.Martin",RCA,129.997,6,-5.313,281.59955,0.713384025,0.484799997,0,2009
15014,16478,SOMTSHA12AB0180566,5/29/1965,I Can't Help Myself,Four Tops,17,0,1,14,,,n/a,85.747,9,-4.303,164.57098,0.5648309,0.618491203,0,1965
20321,112943,SOMUIHE12A8AE466E4,2/14/1987,Lean On Me,Club Nouveau,47,0,1,17,B.Withers,"J.King,T.McElroy,D.Foster",Warner Bros.,88.61,5,-7.301,350.51057,0.77079837,0.839713082,1,1987
24166,15483,SOMVDBQ12AB0188216,1/16/1965,My Girl,The Temptations,76,0,1,13,,,n/a,106.401,8,-5.842,176.19546,0.614017987,0.576062913,1,1965
13145,58880,SOMWIVQ12B0B807596,10/6/1979,Heartache Tonight,Eagles,52,0,1,15,,,,113.229,0,-13.786,264.01914,0.661561456,0.759084741,1,1979
17215,22597,SOMWKTM12AB0181EBF,10/12/1963,I'm Leaving It Up To You,Dale & Grace,65,0,1,15,,,n/a,104.404,11,-15.14,138.91873,0.294801165,0.544091608,1,1963
13388,9051,SOMXSIV12B20E5E44D,12/2/1967,Hello Goodbye,The Beatles,45,0,1,11,,,n/a,99.436,0,-11.267,209.60608,0.630916459,0.442470762,1,1967
29252,108299,SONACNM12A6D4F736C,5/6/1989,Satisfied,Richard Marx,39,0,1,15,R.Marx,"R.Marx,D.Cole",EMI,217.757,8,-8.333,254.37995,0.788666325,0.367723644,1,1989
31192,21658,SONBBHF12A58A7ABAA,6/1/1963,So Much In Love,The Tymes,86,0,1,15,,,n/a,76.971,3,-18.614,134.32118,0.261830857,0.636112314,1,1963
32021,55396,SONCOJE12AF729D836,6/2/1990,Step By Step,New Kids On The Block,16,27,1,15,M.Starr,M.Starr,Columbia,83.546,4,-6.143,266.762,0.580211235,0.637349472,0,1990
3864,72450,SONCUAI12AF72A9BCF,12/21/1974,Black Water,The Doobie Brothers,75,0,1,17,,,,167.594,2,-6.748,272.87465,0.733247521,0.471348245,0,1974
661,132518,SONDCXO12A8AE472EC,12/20/1980,9 To 5,Dolly Parton,39,0,1,26,,,,127.984,6,-13.401,209.73669,0.743115807,0.642840199,1,1980
28484,71184,SONDJCO12A8AE46465,6/22/1974,Rock Me Gently,Andy Kim,81,0,1,18,,,,123.086,0,-8.369,208.45669,0.624402033,0.709535512,1,1974
3891,109501,SONENZV12A8C13F7C1,10/21/1989,Blame It On The Rain,Milli Vanilli,29,46,1,23,D.Warren,F.Farian,Arista,97.519,6,-6.002,248.52853,0.540960155,0.76277177,0,1989
34151,75625,SONGMVB12AF72A5A57,3/4/1972,The First Time Ever I Saw Your Face,Roberta Flack,77,0,1,18,,,,183.118,0,-17.226,319.37261,0.087281036,0.179308596,1,1972
22525,72292,SONGWNF12A67FFB330,11/30/1974,Lucy In The Sky With Diamonds,Elton John,48,0,1,14,,,,83.709,0,-8.496,375.66649,0.55246288,0.53375062,1,1974
22877,72316,SONHPNE12AF72A4A0A,11/30/1974,Mandy,Barry Manilow,47,0,1,16,,,,104.091,10,-9.923,197.79873,0.309191413,0.282981054,1,1974
37857,124357,SONIVAW12AB01824E5,9/8/1984,Wake Me Up Before You Go-Go,Wham!,80,0,1,24,G.Michael,G.Michael,Columbia,162.619,0,-8.088,229.58975,0.716138091,0.583834238,1,1984
761,19410,SONJDPL12C0DDC0227,7/18/1964,A Hard Day's Night,The Beatles,21,0,1,13,,,n/a,69.548,0,-17.498,146.62485,0.540507093,0.506901017,1,1964
1415,103016,SONKYBV12AB017C751,4/28/2001,All For You,Janet,1,1,1,7,"J.Jackson,J.Harris III,T.Lewis,W.Garfield,D.Romani,M.Malavasi","J.Jam,T.Lewis,J.Jackson",Virgin,113.523,1,-4.66,272.03873,0.756969546,0.827443662,0,2001
19056,78327,SONMAHX12AF72A7A74,3/13/1971,Joy To The World,Three Dog Night,58,0,1,17,,,,128.49,2,-6.549,216.2673,0.706434569,0.625818154,1,1971
11077,30226,SONNQDP12A58A7F64F,9/26/1960,Georgia On My Mind,Ray Charles,94,0,1,13,,,n/a,161.11,4,-10.888,280.73751,0.289517166,0.263794015,0,1960
9083,128122,SONNRZA12A6D4FB461,4/10/1982,Ebony And Ivory,"Paul McCartney,Stevie Wonder",29,0,1,19,,,,161.4,4,-10.45,220.36853,0.522131581,0.587834746,1,1982
5549,72027,SONPOWZ12AF72A1BA7,10/19/1974,Cat's In The Cradle,Harry Chapin,62,0,1,19,,,,156.016,10,-13.173,228.28363,0.499386459,0.436263876,1,1974
14507,39884,SONPQKR12A58A7F263,6/15/1996,How Do U Want It/California Love,2Pac Featuring KC And JoJo,64,0,1,24,"T.Shakur,A.Young,R.Troutman,L.Troutman,N.Durham,W.Cunningham,J.Jackson,M.Hooks","Dr. Dre,Johnny ""J""",Interscope,185.013,1,-4.481,239.3073,0.59987624,0.772778995,1,1996
2095,74377,SONQBUB12A6D4F8ED0,9/15/1973,Angie,The Rolling Stones,55,0,1,16,,,,139.327,9,-10.282,271.09832,0.373608445,0.452182467,0,1973
36338,54191,SONQCEI12AB01873E7,12/21/1991,To Be With You,Mr. Big,82,0,1,24,"E.Martin,D.Grahame",K.Elson,Atlantic,83.617,9,-7.054,205.322,0.3868112,0.651154909,1,1991
1723,76517,SONTSRQ12A8C1340BE,7/8/1972,Alone Again (Naturally),Gilbert O'Sullivan,20,0,1,18,,,,86.167,6,-10.665,219.11465,0.432109272,0.648620381,1,1972
41534,60141,SONUXJZ12A8C138016,4/1/1978,You're The One That I Want,"John Travolta,Olivia Newton-John",65,0,1,24,,,,106.934,0,-8.301,169.76934,0.852258748,0.690919732,1,1978
19966,131987,SOOAHEH12AF729E613,10/11/1980,Lady,Kenny Rogers,20,0,1,25,,,,135.194,3,-14.101,234.50077,0.164949807,0.32082417,0,1980
24320,73266,SOOBBCK12AB01840ED,4/14/1973,My Love,Paul McCartney,73,0,1,18,,,,132.758,5,-11.279,233.29914,0.302154618,0.398198016,1,1973
36910,38528,SOOBDRI12A8C132391,12/6/1997,Truly Madly Deeply,Savage Garden,26,0,1,52,"D.Hayes,D.Jones",C.Fisher,Columbia,168.099,0,-8.775,277.26322,0.530358876,0.584939763,1,1997
40102,113231,SOOBFIS12A6D4F8C3B,3/21/1987,With Or Without You,U2,64,0,1,18,U2,"D.Lanois,B.Eno",Atlantic,110.799,1,-6.364,386.19383,0.440386134,0.604289723,1,1987
32728,70178,SOOCXZA12A8C132C28,2/2/1974,Sunshine On My Shoulders,John Denver,77,0,1,18,,,,73.696,8,-19.027,323.00363,0.198724808,0.21965315,1,1974
34469,107491,SOODHCD12A6D4F832D,1/7/1989,The Living Years,Mike ,79,0,1,20,"M.Rutherford,B.A.Robertson","C.Neil,M.Rutherford",Atlantic,195.664,8,-8.364,325.17179,0.4570845,0.404294479,1,1989
30685,65579,SOOEERL12B0B80854C,4/24/1976,Silly Love Songs,Paul McCartney,24,0,1,19,,,,124.815,0,-15.722,355.73506,0.490262834,0.688108101,1,1976
21604,114235,SOOEOPG12AF72AB436,8/8/1987,Lost In Emotion,Lisa Lisa ,67,76,1,20,Full Force,Full Force,Columbia,119.767,7,-7.158,306.57261,0.747534444,0.739144096,0,1987
